titulo,url,nome_do_canal,data,fonte,dici_teste_id
"268 BRUCELOSE HUMANA NA ATENÇÃO PRIMÁRIA DE CAMPO GRANDE, MATO GROSSO DO SUL",https://www.youtube.com/watch?v=934gYmEr0tI,,Acesso em: 4/5/2024,Youtube,13
O Que é Síndrome de Burnout ou Síndrome do Esgotamento,https://www.youtube.com/watch?v=jSmhjqdqvcM,,Acesso em: 4/5/2024,Youtube,14
Esgotamento no trabalho l Saiba reconhecer os sintomas da Síndrome de Burnout,https://www.youtube.com/watch?v=S6Sa7wc0Jq8,,Acesso em: 4/5/2024,Youtube,14
"Síndrome de BURNOUT: entenda o que é, seus sintomas e tratamento",https://www.youtube.com/watch?v=em1H0chNXP0,,Acesso em: 4/5/2024,Youtube,14
Curso Anomalias Congênitas — Aula 5: Defeitos de Tubo Neural I,https://www.youtube.com/watch?v=6e_4AGcDyG0,,Acesso em: 4/5/2024,Youtube,15
Curso Anomalias Congênitas — Aula 1: Boas-Vindas,https://www.youtube.com/watch?v=wfZa2VpoV18,,Acesso em: 4/5/2024,Youtube,15
Curso Anomalias Congênitas — Aula 15: Registro e Prevenção de Anomalias Congênitas,https://www.youtube.com/watch?v=_pw0cbny_g0,,Acesso em: 4/5/2024,Youtube,15
Escorpionismo (Acidentes com animais peçonhentos) - Profª Juliana Mello,https://www.youtube.com/watch?v=lSuQQnQwYyo,,Acesso em: 4/5/2024,Youtube,16
Acidentes por animais peçonhentos: o que são?,https://www.youtube.com/watch?v=DY7qNNM1AjY,,Acesso em: 4/5/2024,Youtube,16
Acidentes com Animais Peçonhentos - Escorpionismo - Agente de Saúde e Agente de Endemias,https://www.youtube.com/watch?v=ppp6kLB9HSE,,Acesso em: 4/5/2024,Youtube,16
A Candidíase de Repetição - Um Olhar Sistêmico,https://www.youtube.com/watch?v=ITzvFQ-NYco,,Acesso em: 4/5/2024,Youtube,17
CANDIDÍASE E AUMENTO DE FUNGOS NO INTESTINO: Como funciona o tratamento?,https://www.youtube.com/watch?v=Vjn4bRUKiw0,,Acesso em: 4/5/2024,Youtube,17
Como acabar com a candidíase? | Chega de sofrimento 😥,https://www.youtube.com/watch?v=joQmSb_nD9c,,Acesso em: 4/5/2024,Youtube,17
Veja como tratar a catapora e prevenir o contágio,https://www.youtube.com/watch?v=jWmTIzxufmk,,Acesso em: 4/5/2024,Youtube,18
TUDO SOBRE CATAPORA E SEUS SINTOMAS | MACETES DE MÃE,https://www.youtube.com/watch?v=hkX12U8ULco,,Acesso em: 4/5/2024,Youtube,18
HERPES ZOSTER: A PERIGOSA REATIVAÇÃO DO VÍRUS DA CATAPORA,https://www.youtube.com/watch?v=U6CHvzVy2Hc,,Acesso em: 4/5/2024,Youtube,18
"Você e o Doutor: Saiba tudo sobre a herpes-zóster, doença causada pelo vírus da catapora",https://www.youtube.com/watch?v=qKXvV2Vxh1M,,Acesso em: 4/5/2024,Youtube,18
Saiba mais sobre a catapora,https://www.youtube.com/watch?v=N8Ggu1P6INA,,Acesso em: 4/5/2024,Youtube,18
"Tudo sobre catapora (Vacina, sintomas, prevenção e tratamento)",https://www.youtube.com/watch?v=qqZzpsF6owI,,Acesso em: 4/5/2024,Youtube,18
Mesmo a criança vacinada pode pegar catapora? | Momento Papo de Mãe,https://www.youtube.com/watch?v=ZTV_6Pqqqmg,,Acesso em: 4/5/2024,Youtube,18
PEGUEI UMA DOENÇA TERRÍVEL NO CARNAVAL!,https://www.youtube.com/watch?v=pdPL10XAM-w,,Acesso em: 4/5/2024,Youtube,18
Como saber se é catapora: bolinha vermelha,https://www.youtube.com/watch?v=RxG-Bj5v1pg,,Acesso em: 4/5/2024,Youtube,18
CATAPORA: Casos voltam a SUBIR; entenda como se prevenir,https://www.youtube.com/watch?v=tHV0zQRNAno,,Acesso em: 4/5/2024,Youtube,18
"Catapora - O especialista responde - Arlindo Schiezari Júnior, infectologista",https://www.youtube.com/watch?v=ZitWZ8AAJQc,,Acesso em: 4/5/2024,Youtube,18
Sol News: EPIDEMIA CATAPORA | TV SOL,https://www.youtube.com/watch?v=oR0KHX9KvS0,,Acesso em: 4/5/2024,Youtube,18
"Catapora (Varicela) - O que é, quais os sintomas e como evitar",https://www.youtube.com/watch?v=CnaEZTMus6Y,,Acesso em: 4/5/2024,Youtube,18
Varicela (Catapora),https://www.youtube.com/watch?v=sPZ3mdk-Mro,,Acesso em: 4/5/2024,Youtube,18
HERPES ZÓSTER: SINTOMAS E CAUSAS I SAÚDE EM SEU LAR,https://www.youtube.com/watch?v=QZCV13jGT0I,,Acesso em: 4/5/2024,Youtube,18
"Catapora - Dr. Arlindo Schiesari Júnior, Infectologista",https://www.youtube.com/watch?v=V9Sa_3mJpKs,,Acesso em: 4/5/2024,Youtube,18
FMS investiga morte de adolescente por complicações da catapora,https://www.youtube.com/watch?v=JRgXPhjFSLU,,Acesso em: 4/5/2024,Youtube,18
HERPES ZÓSTER! VARICELA! CATAPORA! (COBREIRO!?),https://www.youtube.com/watch?v=2M9qG3y_vfo,,Acesso em: 4/5/2024,Youtube,18
