titulo,url,nome_do_canal,data,fonte,anatomia_id
Esqueleto de NATAL | Casa Teehee | Dança de Esqueleto Engraçada,https://www.youtube.com/watch?v=0Rab_DEey9I,,Acesso em: 11/5/2024,Youtube,14
Sistema Esquelético 2/5: Esqueleto Axial e Apendicular. Classificação dos Ossos,https://www.youtube.com/watch?v=hvhMfhFPdCI,,Acesso em: 11/5/2024,Youtube,14
OSSOS do ESQUELETO | Anatomia etc,https://www.youtube.com/watch?v=gQyoRHDNuuE,,Acesso em: 11/5/2024,Youtube,14
Treino de abdomen *para um abdomen trincado*,https://www.youtube.com/watch?v=090Gwx4MqDQ,,Acesso em: 11/5/2024,Youtube,15
Tonifique seu Abdômen em Casa | Pilates com Pati,https://www.youtube.com/watch?v=PMNzcLKprxQ,,Acesso em: 11/5/2024,Youtube,15
ABDOMINAIS EM CASA - APENAS 15 MINUTOS POR DIA !!!,https://www.youtube.com/watch?v=ths0O_cIjM4,,Acesso em: 11/5/2024,Youtube,15
Sistema respiratório: Traquéia e brônquios,https://www.youtube.com/watch?v=u4BcfAPCAeE,,Acesso em: 11/5/2024,Youtube,16
Brônquios Parte 1,https://www.youtube.com/watch?v=o25Y36Fzj1A,,Acesso em: 11/5/2024,Youtube,16
Como diferenciar os BRÔNQUIOS PULMONARES,https://www.youtube.com/watch?v=mOXo4E7Fp1g,,Acesso em: 11/5/2024,Youtube,16
Bronquíolos,https://www.youtube.com/watch?v=4X_CuJsAo38,,Acesso em: 11/5/2024,Youtube,17
Histologia do Sistema Respiratório - Brônquios e Bronquíolos,https://www.youtube.com/watch?v=P1xO6CMgpDc,,Acesso em: 11/5/2024,Youtube,17
"Traquéia, brônquios, bronquiolos, alvéolos e pulmões",https://www.youtube.com/watch?v=I9vdvxuoWc8,,Acesso em: 11/5/2024,Youtube,17
"Vídeo Aula 106 - Anatomia Humana - Caixa Torácica: Esterno, Costelas e Cartilagens Costais",https://www.youtube.com/watch?v=skSv_tPNMiw,,Acesso em: 11/5/2024,Youtube,18
"Coluna Vertebral, Costelas e Esterno - Esqueleto Axial",https://www.youtube.com/watch?v=qJCDDg3N8IM,,Acesso em: 11/5/2024,Youtube,18
OSSO ESTERNO,https://www.youtube.com/watch?v=wOcQorOOH88,,Acesso em: 11/5/2024,Youtube,18
5 PASSOS PARA VENCER A GORDURA DA BARRIGA COMPROVADOS pela CIÊNCIA (DESAFIO 10 DIAS evita DIABETES),https://www.youtube.com/watch?v=o0_j86lDMsI,,Acesso em: 11/5/2024,Youtube,19
"O QUE CAUSA DOR DE BARRIGA NA PARTE DE BAIXO? Sintomas, características...",https://www.youtube.com/watch?v=O9NgSOmTP5c,,Acesso em: 11/5/2024,Youtube,19
Treino de 10 Minutos para DIMINUIR A BARRIGA em 7 dias - Carol Borba,https://www.youtube.com/watch?v=M2k4yDk3H-A,,Acesso em: 11/5/2024,Youtube,19
Estômago - Anatomia e funções gerais,https://www.youtube.com/watch?v=zyER9ZASuZw,,Acesso em: 11/5/2024,Youtube,20
Biologia - Sistema Digestório: Estômago,https://www.youtube.com/watch?v=qXjMtWEKrLI,,Acesso em: 11/5/2024,Youtube,20
"Sistema Digestório 2/5 | Trato Gastrointestinal: Boca, Faringe, Esôfago e Estômago",https://www.youtube.com/watch?v=9-y3RHT8Efo,,Acesso em: 11/5/2024,Youtube,20
"Meninges: Dura-máter, aracnóide e pia-máter - Sistema Nervoso/Neuroanatomia - Vídeo Aula 077",https://www.youtube.com/watch?v=8XI7h3M8r2Q,,Acesso em: 11/5/2024,Youtube,21
CISTO ARACNOIDE I  EP.: 59,https://www.youtube.com/watch?v=STuBFp4CP14,,Acesso em: 11/5/2024,Youtube,21
