titulo,url,nome_do_canal,data,fonte,dici_teste_id
Alergia Alimentar - Tem solução! Dr. Juliano Teles,https://www.youtube.com/watch?v=PlXD-Rf_Kls,,Acesso em: 6/5/2024,Youtube,14
Mielite: onde buscar ajuda.,https://www.youtube.com/watch?v=6ntSXdv_c4g,,Acesso em: 6/5/2024,Youtube,15
Paralisia flácida | José Góes,https://www.youtube.com/watch?v=QHLBNQPSaok,,Acesso em: 6/5/2024,Youtube,15
Fraqueza motora,https://www.youtube.com/watch?v=8us_vp-POPk,,Acesso em: 6/5/2024,Youtube,15
QUAIS SÃO AS FASES DA DOENÇA DE ALZHEIMER?,https://www.youtube.com/watch?v=kk3oeuiZmXo,,Acesso em: 6/5/2024,Youtube,16
"Doença de Alzheimer: Causas, Efeitos e Prevenção",https://www.youtube.com/watch?v=878RiQ37-vw,,Acesso em: 6/5/2024,Youtube,16
ENTENDA COMO A DOENÇA DE ALZHEIMER AFETA O CÉREBRO,https://www.youtube.com/watch?v=gJXFnLWztUY,,Acesso em: 6/5/2024,Youtube,16
"Leucemia linfocítica aguda: sintomas, diagnóstico, fatores de risco e formas de tratamento",https://www.youtube.com/watch?v=3CndFoUPztY,,Acesso em: 6/5/2024,Youtube,17
Como identificar Leucemia Linfoide Aguda no hemograma completo - Biomedicina #hematologia,https://www.youtube.com/watch?v=bL8GGTVANpY,,Acesso em: 6/5/2024,Youtube,17
"Leucemia Linfóide Aguda - O que é, incidência, tratamento e diagnóstico",https://www.youtube.com/watch?v=-3OD1f9EuXI,,Acesso em: 6/5/2024,Youtube,17
Ambliopia - O Que é Ambliopia,https://www.youtube.com/watch?v=cvKE6Rb_2i8,,Acesso em: 6/5/2024,Youtube,18
Olho preguiçoso: Causas da Ambliopia e como ela afeta a visão.,https://www.youtube.com/watch?v=FlcLQAWofhA,,Acesso em: 6/5/2024,Youtube,18
AMBLIOPIA A SINDROME DO OLHO PREGUIÇOSO,https://www.youtube.com/watch?v=CNVDFnT_L0U,,Acesso em: 6/5/2024,Youtube,18
O CHÁ DE AYAHUASCA,https://www.youtube.com/watch?v=g8lXZnRy2x0,,Acesso em: 6/5/2024,Youtube,19
OS INDIOS E A CIVILIZAÇÃO - Documentario,https://www.youtube.com/watch?v=IEEVH4jZV2w,,Acesso em: 6/5/2024,Youtube,19
"Vivendo Sozinho na Floresta Selvagem da Sibéria por 20 anos | -71°C, Yakutia",https://www.youtube.com/watch?v=7RXh_49Cok0,,Acesso em: 6/5/2024,Youtube,19
Anafilaxia - 3 Condutas Que Não Podem Faltar Na Anafilaxia,https://www.youtube.com/watch?v=wN2i0wg59rA,,Acesso em: 6/5/2024,Youtube,20
Anafilaxia em adultos,https://www.youtube.com/watch?v=QQjp6vFU6SQ,,Acesso em: 6/5/2024,Youtube,20
Anafilaxia - SIMMPED,https://www.youtube.com/watch?v=rBrOCDj6DlA,,Acesso em: 6/5/2024,Youtube,20
Amiloidose,https://www.youtube.com/watch?v=q9lp6RaV15M,,Acesso em: 6/5/2024,Youtube,21
"De onde surge e quem pode ter a Amiloidose? (e pode ser FATAL) | Geydson Cruz - [MD,MSC]",https://www.youtube.com/watch?v=r6dfWi42OqU,,Acesso em: 6/5/2024,Youtube,21
AMILOIDOSE CARDÍACA - DRA EDILEIDE CORREIA RESPONDE AO SEU CARDIO NEWS,https://www.youtube.com/watch?v=Kyqngvj611w,,Acesso em: 6/5/2024,Youtube,21
POSSO MOVIMENTAR DEPOIS DA CIRURGIA COM PLACA NO RÁDIO DISTAL?,https://www.youtube.com/watch?v=-lA6X8Ev_c0,,Acesso em: 6/5/2024,Youtube,22
Qual o tempo de recuperação (repouso) após uma cirurgia?,https://www.youtube.com/watch?v=elh2BjPJ98c,,Acesso em: 6/5/2024,Youtube,22
Pós-operatório da cirurgia de catarata.,https://www.youtube.com/watch?v=SAtgt2gdUoU,,Acesso em: 6/5/2024,Youtube,22
ANESTESIA GERAL: O QUE ACONTECE? QUAIS OS RISCOS?,https://www.youtube.com/watch?v=wAYi6-VwCFo,,Acesso em: 6/5/2024,Youtube,23
1⃣1⃣ ANESTESIA DISSOCIATIVA | Anestesia é o Básico #11,https://www.youtube.com/watch?v=5wC0lWecoLM,,Acesso em: 6/5/2024,Youtube,23
Guia Completo: Técnicas Práticas de Anestesia em Odontologia,https://www.youtube.com/watch?v=ZiLy2uWl2GM,,Acesso em: 6/5/2024,Youtube,23
Metabolismo de aminoácidos - parte I,https://www.youtube.com/watch?v=t2U8QOSVHVI,,Acesso em: 6/5/2024,Youtube,24
CICLO DA UREIA (ENSINO SUPERIOR) - BIOQUÍMICA - OXIDAÇÃO DE AMINOÁCIDOS - CICLO DA ORNITINA,https://www.youtube.com/watch?v=N_7P0BI-ZbY,,Acesso em: 6/5/2024,Youtube,24
METABOLISMO - ANABOLISMO E CATABOLISMO | Biologia com Samuel Cunha,https://www.youtube.com/watch?v=tRxhB0epVwU,,Acesso em: 6/5/2024,Youtube,24
Introdução à Anatomia: posição anatômica e termos de relação | Anatomia etc,https://www.youtube.com/watch?v=5c3Pp-b7uwc,,Acesso em: 6/5/2024,Youtube,25
Por onde começar a estudar ANATOMIA? Passo a passo para aprender do jeito certo!,https://www.youtube.com/watch?v=lgfAUxoTPmA,,Acesso em: 6/5/2024,Youtube,25
Minuto da Anatomia #15 - Planos e Eixos Anatômicos - Anatomia Humana,https://www.youtube.com/watch?v=ATCld_F1n2c,,Acesso em: 6/5/2024,Youtube,25
